a,b,c,d,e
20 MICRONS LTD.,20MICRONS,20MICRONS,Mining / Minerals / Metals,https://halalstock.in/is-20-microns-ltd-halal-and-shariah-compliant/
3C IT Solutions and Telecoms (India) Ltd,3CIT,,IT Enabled Services,https://halalstock.in/is-3c-it-solutions-and-telecoms-india-ltd-halal-and-shariah-compliant/
3I INFOTECH LTD.,3IINFOTECH,3IINFOLTD,Computers - Software - Medium / Small,https://halalstock.in/is-3i-infotech-ltd-halal-and-shariah-compliant/
3M INDIA LTD.,3MINDIA,3MINDIA,Trading,https://halalstock.in/is-3m-india-ltd-halal-and-shariah-compliant/
7NR RETAIL LTD,7NR,,Trading,https://halalstock.in/is-7nr-retail-ltd-halal-and-shariah-compliant/
A B INFRABUILD,,ABINFRA,Construction,https://halalstock.in/is-a-b-infrabuild-halal-and-shariah-compliant/
A-1 ACID LTD,AAL,,Chemicals,https://halalstock.in/is-a-1-acid-ltd-halal-and-shariah-compliant/
Aakaar Medical Technologies Ltd,,AAKAAR,Personal Care,https://halalstock.in/is-aakaar-medical-technologies-ltd-halal-and-shariah-compliant/
AAREY DRUGS &amp; PHARMACEUTICALS LTD.,AREYDRG,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-aarey-drugs-pharmaceuticals-ltd-halal-and-shariah-compliant/
AARON INDUSTRIES,,AARON,Engineering,https://halalstock.in/is-aaron-industries-halal-and-shariah-compliant/
AARTECH SOLONICS LTD,AARTECH,AARTECH,Electric Equipment,https://halalstock.in/is-aartech-solonics-ltd-halal-and-shariah-compliant/
AARTI DRUGS LTD.,AARTIDRUGS,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-aarti-drugs-ltd-halal-and-shariah-compliant/
AARTI INDUSTRIES LTD.,AARTIIND,AARTIIND,Chemicals,https://halalstock.in/is-aarti-industries-ltd-halal-and-shariah-compliant/
Aarti Pharmalabs Ltd1,AARTIPHARM,AARTIPHARM,Pharmaceuticals,https://halalstock.in/is-aarti-pharmalabs-ltd1-halal-and-shariah-compliant/
AARTI SURFACTANTS LTD,AARTISURF,AARTISURF,Chemicals,https://halalstock.in/is-aarti-surfactants-ltd-halal-and-shariah-compliant/
AARVI ENCON,,AARVI,Miscellaneous,https://halalstock.in/is-aarvi-encon-halal-and-shariah-compliant/
Aatmaj Healthcare Ltd,,AATMAJ,Hospital,https://halalstock.in/is-aatmaj-healthcare-ltd-halal-and-shariah-compliant/
Aayush Wellness Ltd,AAYUSH,,Trading,https://halalstock.in/is-aayush-wellness-ltd-halal-and-shariah-compliant/
Abate As Industries Ltd,ABATEAS,,Hospital,https://halalstock.in/is-abate-as-industries-ltd-halal-and-shariah-compliant/
ABB INDIA LIMITED,ABB,ABB,Electric Equipment,https://halalstock.in/is-abb-india-limited-halal-and-shariah-compliant/
ABB POWER PRODUCTS AND SYSTEMS INDIA LTD,POWERINDIA,POWERINDIA,Electric Equipment,https://halalstock.in/is-abb-power-products-and-systems-india-ltd-halal-and-shariah-compliant/
ABBOTT INDIA LTD.,ABBOTINDIA,ABBOTINDIA,Pharmaceuticals - Multinational,https://halalstock.in/is-abbott-india-ltd-halal-and-shariah-compliant/
ABC INDIA LTD.,ABCINDQ,,Miscellaneous,https://halalstock.in/is-abc-india-ltd-halal-and-shariah-compliant/
Abha Power and Steel Limited,,ABHAPOWER,Castings &amp; Forgings,https://halalstock.in/is-abha-power-and-steel-limited-halal-and-shariah-compliant/
ABHISHEK INTEGR.,,AILIMITED,Miscellaneous,https://halalstock.in/is-abhishek-integr-halal-and-shariah-compliant/
ABM International Limited,,ABMINTLLTD,Base Material,https://halalstock.in/is-abm-international-limited-halal-and-shariah-compliant/
ABM KNOWLEDGEWARE LTD.,ABMKNO,,Computers - Software - Medium / Small,https://halalstock.in/is-abm-knowledgeware-ltd-halal-and-shariah-compliant/
Abram Food Ltd,ABRFL,,Other Food Products,https://halalstock.in/is-abram-food-ltd-halal-and-shariah-compliant/
Abril Paper Tech Ltd,ABRIL,,Other Industrial Products,https://halalstock.in/is-abril-paper-tech-ltd-halal-and-shariah-compliant/
ABS MARINE SERVICES LIMITED,,ABSMARINE,Shipping,https://halalstock.in/is-abs-marine-services-limited-halal-and-shariah-compliant/
ACC LTD.,ACC,ACC,Cement - North India,https://halalstock.in/is-acc-ltd-halal-and-shariah-compliant/
ACCELYA SOLUTIONS INDIA LTD,ACCELYA,ACCELYA,Computers - Software - Medium / Small,https://halalstock.in/is-accelya-solutions-india-ltd-halal-and-shariah-compliant/
Accent Microcell Ltd,,ACCENTMIC,Pharmaceuticals,https://halalstock.in/is-accent-microcell-ltd-halal-and-shariah-compliant/
Accretion Pharmaceuticals Ltd,,ACCPL,Pharmaceuticals,https://halalstock.in/is-accretion-pharmaceuticals-ltd-halal-and-shariah-compliant/
ACE Alpha Tech Ltd,ACEALPHA,,Computers - Software &amp; Consulting,https://halalstock.in/is-ace-alpha-tech-ltd-halal-and-shariah-compliant/
ACE INTEGRATED,,ACEINTEG,Miscellaneous,https://halalstock.in/is-ace-integrated-halal-and-shariah-compliant/
ACE MEN ENGG WORKS LTD,ACEMEN,,Trading,https://halalstock.in/is-ace-men-engg-works-ltd-halal-and-shariah-compliant/
ACEWIN AGRITECK LTD,ACEWIN,,Miscellaneous,https://halalstock.in/is-acewin-agriteck-ltd-halal-and-shariah-compliant/
ACTION CONSTRUCTION EQUIPMENT LTD.,ACE,ACE,Engineering,https://halalstock.in/is-action-construction-equipment-ltd-halal-and-shariah-compliant/
Active Infrastructure Ltd,,ACTIVEINFR,Residential Commercial Projects,https://halalstock.in/is-active-infrastructure-ltd-halal-and-shariah-compliant/
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,ADANIPORTS,ADANIPORTS,Miscellaneous,https://halalstock.in/is-adani-ports-and-special-economic-zone-ltd-halal-and-shariah-compliant/
ADANI POWER LTD.,ADANWER,ADANWER,Power Generation And Supply,https://halalstock.in/is-adani-power-ltd-halal-and-shariah-compliant/
ADANI TOTAL GAS LTD,ATGL,ATGL,Miscellaneous,https://halalstock.in/is-adani-total-gas-ltd-halal-and-shariah-compliant/
Adani Wilmar Ltd,AWL,AWL,Edible Oils,https://halalstock.in/is-adani-wilmar-ltd-halal-and-shariah-compliant/
ADARSH PLANT PROTECT LTD.,ADARSHPL,,Pumps,https://halalstock.in/is-adarsh-plant-protect-ltd-halal-and-shariah-compliant/
ADC INDIA COMMUNICATIONS LIMITED,ADCINDIA,,Telecommunications - Equipment,https://halalstock.in/is-adc-india-communications-limited-halal-and-shariah-compliant/
Adcounty Media India Ltd,ADCOUNTY,,Web based media and service,https://halalstock.in/is-adcounty-media-india-ltd-halal-and-shariah-compliant/
Addictive Learn,,LAWSIKHO,Miscellaneous,https://halalstock.in/is-addictive-learn-halal-and-shariah-compliant/
ADD-SHOP ERETAIL LTD,ASRL,,Trading,https://halalstock.in/is-add-shop-eretail-ltd-halal-and-shariah-compliant/
ADESHWAR MEDITEX LTD,ADESHWAR,,Healthcare,https://halalstock.in/is-adeshwar-meditex-ltd-halal-and-shariah-compliant/
ADF FOODS LTD.,ADFFOODS,ADFFOODS,Food - Processing - Indian,https://halalstock.in/is-adf-foods-ltd-halal-and-shariah-compliant/
ADINATH TEXTILES LTD.,ADINATH,,Textiles - Spinning - Synthetic / Blended,https://halalstock.in/is-adinath-textiles-ltd-halal-and-shariah-compliant/
ADITYA BIRLA FASHION AND RETAIL LTD,ABFRL,ABFRL,Textiles - Products,https://halalstock.in/is-aditya-birla-fashion-and-retail-ltd-halal-and-shariah-compliant/
Aditya Birla Lifestyle Brands Ltd,ABLBL,ABLBL,Speciality Retail,https://halalstock.in/is-aditya-birla-lifestyle-brands-ltd-halal-and-shariah-compliant/
Aditya Birla Real Estate Ltd,ABREL,ABREL,Paper,https://halalstock.in/is-aditya-birla-real-estate-ltd-halal-and-shariah-compliant/
ADITYA CONSUMER MARKETING LTD,ACML,,Trading,https://halalstock.in/is-aditya-consumer-marketing-ltd-halal-and-shariah-compliant/
Aditya Infotech Ltd,CPPLUS,CPPLUS,Industrial Products,https://halalstock.in/is-aditya-infotech-ltd-halal-and-shariah-compliant/
ADITYA VISION LTD,AVL,,Electronics - Consumer,https://halalstock.in/is-aditya-vision-ltd-halal-and-shariah-compliant/
ADJIA TECH,ADJIA,,Computers - Software - Medium / Small,https://halalstock.in/is-adjia-tech-halal-and-shariah-compliant/
ADOR FONTECH LTD.,ADORFO,,Electrodes - Welding Equipment,https://halalstock.in/is-ador-fontech-ltd-halal-and-shariah-compliant/
ADOR MULTIPRODUCTS LTD.,ADORMUL,,Personal Care - Indian,https://halalstock.in/is-ador-multiproducts-ltd-halal-and-shariah-compliant/
ADOR WELDING LTD.,ADORWELD,ADORWELD,Electrodes - Welding Equipment,https://halalstock.in/is-ador-welding-ltd-halal-and-shariah-compliant/
ADVAIT INFRATECH LTD,ADVAIT,,Construction,https://halalstock.in/is-advait-infratech-ltd-halal-and-shariah-compliant/
Advance Agrolife Ltd.,ADVANCE,,Pesticides / Agrochemicals,https://halalstock.in/is-advance-agrolife-ltd-halal-and-shariah-compliant/
ADVANCED ENZYME TECHNOLOGIES LTD,ADVENZYMES,ADVENZYMES,Chemicals,https://halalstock.in/is-advanced-enzyme-technologies-ltd-halal-and-shariah-compliant/
AEGIS LOGISTICS LTD.,AEGISLOG,AEGISLOG,Trading,https://halalstock.in/is-aegis-logistics-ltd-halal-and-shariah-compliant/
Aegis Vopak Terminals Ltd,AEGISVOPAK,AEGISVOPAK,Oil Storage &amp; Transportation,https://halalstock.in/is-aegis-vopak-terminals-ltd-halal-and-shariah-compliant/
