a,b,c,d,e,used_symbol,ltp,pe,market_cap,status
20 MICRONS LTD.,20MICRONS,20MICRONS,Mining / Minerals / Metals,https://halalstock.in/is-20-microns-ltd-halal-and-shariah-compliant/,20MICRONS.NS,191.34,10.822398,6772577792,ok
3C IT Solutions and Telecoms (India) Ltd,3CIT,,IT Enabled Services,https://halalstock.in/is-3c-it-solutions-and-telecoms-india-ltd-halal-and-shariah-compliant/,3CIT.BO,17.25,42.07317,103845000,ok
3M INDIA LTD.,3MINDIA,3MINDIA,Trading,https://halalstock.in/is-3m-india-ltd-halal-and-shariah-compliant/,3MINDIA.NS,34840.0,70.92256,392475049984,ok
7NR RETAIL LTD,7NR,,Trading,https://halalstock.in/is-7nr-retail-ltd-halal-and-shariah-compliant/,7NR.BO,4.19,6.650794,117348496,ok
AARTECH SOLONICS LTD,AARTECH,AARTECH,Electric Equipment,https://halalstock.in/is-aartech-solonics-ltd-halal-and-shariah-compliant/,AARTECH.NS,52.18,56.107525,1657778176,ok
AARTI DRUGS LTD.,AARTIDRUGS,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-aarti-drugs-ltd-halal-and-shariah-compliant/,AARTIDRUGS.NS,424.85,19.569324,38797221888,ok
AARTI INDUSTRIES LTD.,AARTIIND,AARTIIND,Chemicals,https://halalstock.in/is-aarti-industries-ltd-halal-and-shariah-compliant/,AARTIIND.NS,382.3,47.84731,138675093504,ok
Aarti Pharmalabs Ltd1,AARTIPHARM,AARTIPHARM,Pharmaceuticals,https://halalstock.in/is-aarti-pharmalabs-ltd1-halal-and-shariah-compliant/,AARTIPHARM.NS,700.65,26.529724,63512031232,ok
AARTI SURFACTANTS LTD,AARTISURF,AARTISURF,Chemicals,https://halalstock.in/is-aarti-surfactants-ltd-halal-and-shariah-compliant/,AARTISURF.NS,433.45,24.392235,3666335232,ok
Aayush Wellness Ltd,AAYUSH,,Trading,https://halalstock.in/is-aayush-wellness-ltd-halal-and-shariah-compliant/,AAYUSH.BO,34.01,36.18085,1655324416,ok
Abate As Industries Ltd,ABATEAS,,Hospital,https://halalstock.in/is-abate-as-industries-ltd-halal-and-shariah-compliant/,ABATEAS.BO,17.57,23.118422,2769145600,ok
ABB INDIA LIMITED,ABB,ABB,Electric Equipment,https://halalstock.in/is-abb-india-limited-halal-and-shariah-compliant/,ABB.NS,5175.0,62.10994,1096974991360,ok
ABB POWER PRODUCTS AND SYSTEMS INDIA LTD,POWERINDIA,POWERINDIA,Electric Equipment,https://halalstock.in/is-abb-power-products-and-systems-india-ltd-halal-and-shariah-compliant/,POWERINDIA.NS,22056.0,133.33333,983088037888,ok
ABBOTT INDIA LTD.,ABBOTINDIA,ABBOTINDIA,Pharmaceuticals - Multinational,https://halalstock.in/is-abbott-india-ltd-halal-and-shariah-compliant/,ABBOTINDIA.NS,30075.0,42.37288,639072731136,ok
ABC INDIA LTD.,ABCINDQ,,Miscellaneous,https://halalstock.in/is-abc-india-ltd-halal-and-shariah-compliant/,ABCINDQ.BO,70.58,,382348256,ok
ABM KNOWLEDGEWARE LTD.,ABMKNO,,Computers - Software - Medium / Small,https://halalstock.in/is-abm-knowledgeware-ltd-halal-and-shariah-compliant/,ABMKNO.BO,282.55,43.670788,5651621376,ok
Abram Food Ltd,ABRFL,,Other Food Products,https://halalstock.in/is-abram-food-ltd-halal-and-shariah-compliant/,ABRFL.BO,115.9,19.54469,597348608,ok
Abril Paper Tech Ltd,ABRIL,,Other Industrial Products,https://halalstock.in/is-abril-paper-tech-ltd-halal-and-shariah-compliant/,ABRIL.BO,42.13,20.451458,336274912,ok
ACC LTD.,ACC,ACC,Cement - North India,https://halalstock.in/is-acc-ltd-halal-and-shariah-compliant/,ACC.NS,1850.6,10.438265,347738112000,ok
ACCELYA SOLUTIONS INDIA LTD,ACCELYA,ACCELYA,Computers - Software - Medium / Small,https://halalstock.in/is-accelya-solutions-india-ltd-halal-and-shariah-compliant/,ACCELYA.NS,1295.8,15.336727,19346229248,ok
ACE Alpha Tech Ltd,ACEALPHA,,Computers - Software &amp; Consulting,https://halalstock.in/is-ace-alpha-tech-ltd-halal-and-shariah-compliant/,ACEALPHA.BO,106.35,17.78428,1867314176,ok
ACE MEN ENGG WORKS LTD,ACEMEN,,Trading,https://halalstock.in/is-ace-men-engg-works-ltd-halal-and-shariah-compliant/,ACEMEN.BO,96.5,4825.0,299005248,ok
ACTION CONSTRUCTION EQUIPMENT LTD.,ACE,ACE,Engineering,https://halalstock.in/is-action-construction-equipment-ltd-halal-and-shariah-compliant/,ACE.NS,992.8,28.244663,118158286848,ok
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,ADANIPORTS,ADANIPORTS,Miscellaneous,https://halalstock.in/is-adani-ports-and-special-economic-zone-ltd-halal-and-shariah-compliant/,ADANIPORTS.NS,1516.9,27.395702,3276948373504,ok
ADANI TOTAL GAS LTD,ATGL,ATGL,Miscellaneous,https://halalstock.in/is-adani-total-gas-ltd-halal-and-shariah-compliant/,ATGL.NS,606.65,106.42983,667199799296,ok
Adani Wilmar Ltd,AWL,AWL,Edible Oils,https://halalstock.in/is-adani-wilmar-ltd-halal-and-shariah-compliant/,AWL.NS,259.0,30.943848,335478292480,ok
ADARSH PLANT PROTECT LTD.,ADARSHPL,,Pumps,https://halalstock.in/is-adarsh-plant-protect-ltd-halal-and-shariah-compliant/,ADARSHPL.BO,30.0,,297344992,ok
ADC INDIA COMMUNICATIONS LIMITED,ADCINDIA,,Telecommunications - Equipment,https://halalstock.in/is-adc-india-communications-limited-halal-and-shariah-compliant/,ADCINDIA.BO,1298.1,33.114796,5971259904,ok
Adcounty Media India Ltd,ADCOUNTY,,Web based media and service,https://halalstock.in/is-adcounty-media-india-ltd-halal-and-shariah-compliant/,ADCOUNTY.BO,151.15,21.592855,3401056256,ok
ADD-SHOP ERETAIL LTD,ASRL,,Trading,https://halalstock.in/is-add-shop-eretail-ltd-halal-and-shariah-compliant/,ASRL.BO,9.27,15.45,262461120,ok
ADESHWAR MEDITEX LTD,ADESHWAR,,Healthcare,https://halalstock.in/is-adeshwar-meditex-ltd-halal-and-shariah-compliant/,ADESHWAR.BO,17.7,13.511452,255436272,ok
ADF FOODS LTD.,ADFFOODS,ADFFOODS,Food - Processing - Indian,https://halalstock.in/is-adf-foods-ltd-halal-and-shariah-compliant/,ADFFOODS.NS,209.45,29.921429,23010928640,ok
